Date;Mois;Contrepartie;Montant (€);Source;Type;Catégorie;Matched mot_clé;Matched type_condition
2023-03-23 00:00:00;2023-03;Amzn Mktp Fr*zx4xr9565;-19.95;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-03-27 14:58:40;2023-03;IMMORENTE  SCPI;687.96;Qonto;;SCPI;IMMORENTE;
2023-03-28 05:10:29;2023-03;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-20000.0;Qonto;;Crowdfunding;CLUBFUNDING - FINANCEMENT PARTICIPATIF;
2023-03-28 10:03:10;2023-03;M BIBOUM NYEMB ITIBI JOSEPH;1200.0;Qonto;;Conseil;M BIBOUM NYEMB ITIBI JOSEPH;
2023-03-30 00:00:00;2023-03;Table Armaillis;-240.5;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-04-01 03:03:33;2023-04;Qonto;-10.8;Qonto;;FdS;Qonto;
2023-04-05 10:33:49;2023-04;TYLIA Invest;-10000.0;Qonto;;VC;TYLIA Invest;
2023-04-06 05:24:40;2023-04;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-30000.0;Qonto;;Crowdfunding;CLUBFUNDING - FINANCEMENT PARTICIPATIF;
2023-04-09 00:00:00;2023-04;Gr Epicerie 16  4704771;-10.5;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-04-11 16:29:03;2023-04;SAS GDG HOLDCO FRAGONARD FP;233.4;Qonto;;Crowdfunding;SAS GDG HOLDCO FRAGONARD FP;
2023-04-11 16:40:01;2023-04;SAS INFINI CAPITAL;300.0;Qonto;;Crowdfunding;SAS INFINI CAPITAL;
2023-04-11 17:25:24;2023-04;SAS BVI.EU FINANCE  FP;166.6;Qonto;;Crowdfunding;SAS BVI.EU FINANCE  FP;
2023-04-12 10:03:24;2023-04;CORUM EURION;743.36;Qonto;;SCPI;CORUM EURION;
2023-04-13 00:00:00;2023-04;Trainline Euro;-68.0;Revolut;CARD_PAYMENT;FdS;;CARD_PAYMENT
2023-04-16 07:19:38;2023-04;PERSPECTIVES ADVISORY;1890.0;Qonto;;Conseil;PERSPECTIVES ADVISORY;
