Date de la valeur (UTC);Nom de la contrepartie;Montant total (TTC)
07-08-2023 10:24:23;SAS CASALINA  FP;275,10
07-08-2023 10:22:21;SAS GDG HOLDCO FRAGONARD FP;166,60
07-08-2023 10:15:58;SCI   PRIMOPIERRE;1769,43
07-08-2023 10:15:33;SAS INFINI CAPITAL;240,30
07-08-2023 10:08:46;SAS SGM PERSEPHONE FP;166,60
03-08-2023 15:48:51;LES SHERPAS;2400,00
01-08-2023 15:54:36;Qonto;-13,20
01-08-2023 10:17:53;PRIMOPIERRE SCPI;1616,16
01-08-2023 07:32:33;Cuvelier Fauvarque;-647,00
31-07-2023 10:11:53;M BIBOUM NYEMB ITIBI JOSEPH;1200,00
26-07-2023 16:03:11;roundtable - NewCo 18;-5000,00
25-07-2023 10:10:00;SCPI IMMORENTE;2063,88
25-07-2023 10:09:58;EFIMMO 1;1012,80
25-07-2023 10:08:26;SCPI EPARGNE PIERRE;2329,36
21-07-2023 14:03:28;ETHIFINANCE SAS;6911,40
20-07-2023 05:23:32;ALTAROC GLOBAL 2023 FPCI - COLLECTE;-22000,00
12-07-2023 10:12:25;M BIBOUM NYEMB ITIBI JOSEPH;1200,00
11-07-2023 10:19:46;CORUM EURION;1437,12
07-07-2023 10:09:59;SAS BVI.EU FINANCE  FP;166,60
07-07-2023 10:09:53;SAS CASALINA  FP;275,10
07-07-2023 10:07:56;SAS SGM PERSEPHONE FP;166,60
07-07-2023 10:07:51;SAS GDG HOLDCO FRAGONARD FP;166,60
07-07-2023 10:02:50;SAS INFINI CAPITAL;240,30
06-07-2023 10:15:57;Mangopay;28684,55
03-07-2023 15:31:36;LES SHERPAS;2400,00
01-07-2023 03:05:19;Qonto;-13,20
23-06-2023 10:01:06;ETHIFINANCE SAS;4800,00
23-06-2023 07:39:34;notaire METADEFI;-9988,76
13-06-2023 11:10:46;CORUM EURION;831,33
07-06-2023 11:19:14;SAS CASALINA  FP;430,80
07-06-2023 10:59:01;SAS INFINI CAPITAL;252,30
07-06-2023 10:58:47;SAS BVI.EU FINANCE  FP;166,60
07-06-2023 10:56:11;SAS GDG HOLDCO FRAGONARD FP;166,60
07-06-2023 10:04:36;SAS SGM PERSEPHONE FP;166,60
02-06-2023 15:31:13;LES SHERPAS;2400,00
01-06-2023 11:58:48;M BIBOUM NYEMB ITIBI JOSEPH;1200,00
01-06-2023 03:05:29;Qonto;-10,80
25-05-2023 09:47:39;SAS INFINI CAPITAL;887,70
17-05-2023 10:16:13;SCI   PRIMOPIERRE;43,01
16-05-2023 12:42:48;Samia MEKHANEG;-1200,00
15-05-2023 10:11:15;SAS INFINI CAPITAL;275,40
12-05-2023 14:10:22;Julia Hanon;-400,00
11-05-2023 09:55:55;SAS GDG HOLDCO FRAGONARD FP;166,60
11-05-2023 09:51:16;CORUM EURION;344,38
09-05-2023 15:30:03;SAS INFINI CAPITAL;249,90
09-05-2023 15:29:55;SAS SGM PERSEPHONE FP;216,60
09-05-2023 13:58:11;SAS BVI.EU FINANCE  FP;166,60
04-05-2023 14:25:58;LES SHERPAS;7200,00
01-05-2023 03:05:28;Qonto;-10,80
28-04-2023 15:00:37;M BIBOUM NYEMB ITIBI JOSEPH;1200,00
28-04-2023 14:37:26;SCI   PRIMOPIERRE;1573,15
26-04-2023 10:42:49;ETHIFINANCE SAS;1200,00
25-04-2023 10:54:04;EFIMMO 1;675,20
25-04-2023 10:43:47;SCPI IMMORENTE;1375,92
24-04-2023 10:12:21;SCPI EPARGNE PIERRE;1906,08
21-04-2023 05:21:22;ALTAROC GLOBAL 2022 FPCI - COLLECTE;-10000,00
16-04-2023 07:19:38;PERSPECTIVES ADVISORY;1890,00
12-04-2023 10:03:24;CORUM EURION;743,36
11-04-2023 17:25:24;SAS BVI.EU FINANCE  FP;166,60
11-04-2023 16:40:01;SAS INFINI CAPITAL;300,00
11-04-2023 16:29:03;SAS GDG HOLDCO FRAGONARD FP;233,40
06-04-2023 05:24:40;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-30000,00
05-04-2023 10:33:49;TYLIA Invest;-10000,00
01-04-2023 03:03:33;Qonto;-10,80
28-03-2023 10:03:10;M BIBOUM NYEMB ITIBI JOSEPH;1200,00
28-03-2023 05:10:29;CLUBFUNDING - FINANCEMENT PARTICIPATIF;-20000,00
27-03-2023 14:58:40;IMMORENTE  SCPI;687,96
